simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
搬家,搬家,bān jiā,to move house; to relocate ; to remove (sth),7790,3,"v,vn",扌
搬迁,搬遷,bān qiān,removal ; to move ; to relocate,14777,7,"v,vn",扌
板,板 | 闆,bǎn | pàn,"accented beat in Chinese music ; board ; clappers (music) ; hard ; plank ; plate ; see 老板, boss ; shutter ; stiff ; table tennis bat ; to catch sight of in a doorway (old) ; to stop smiling or look serious",1759,3,"g,n,v,q,a",木
板块,板塊,bǎn kuài,(economic) bloc ; (fig.) sector (of the stock market or of industry) ; (geology) tectonic plate ; slab,11235,7,n,木
版,版,bǎn,a register ; block of printing ; edition ; page ; version,1545,5,"n,q",片
办,辦,bàn,to deal with ; to do ; to go about ; to handle ; to manage ; to run ; to set up,691,2,v,力
办不到,辦不到,bàn bu dào,can't be done ; impossible ; no can do ; unable to accomplish,1000000,7,,力
办法,辦法,bàn fǎ,means ; method ; way (of doing sth),538,2,n,力
办公,辦公,bàn gōng,to handle official business ; to work (esp. in an office),5310,6,"vn,v",力
办公室,辦公室,bàn gōng shì,bureau ; business premises ; office,1162,2,n,力
办理,辦理,bàn lǐ,to handle; to transact; to conduct,6575,3,v,力
办事,辦事,bàn shì,to handle (affairs) ; to work,4819,4,"v,vn",力
办事处,辦事處,bàn shì chù,agency ; office,11821,6,n,力
办学,辦學,bàn xué,to run a school,39436,6,vn,力
半,半,bàn,(after a number) and a half ; half ; incomplete ; semi-,727,1,m,十
半边天,半邊天,bàn biān tiān,half the sky ; women of the new society ; womenfolk,37858,7,n,十
半场,半場,bàn chǎng,half of a game or contest ; half-court,2794,7,,十
半岛,半島,bàn dǎo,peninsula,12843,7,n,十
半决赛,半決賽,bàn jué sài,semifinals,10520,6,n,十
半路,半路,bàn lù,halfway ; midway ; on the way,15433,7,n,十
半年,半年,bàn nián,half a year,37795,1,nr,十
半数,半數,bàn shù,half the number; half,11646,7,m,十
半天,半天,bàn tiān,a long time ; half of the day ; midair ; quite a while,7467,1,"mq,t",十
半途而废,半途而廢,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished,25389,7,v,十
半信半疑,半信半疑,bàn xìn bàn yí,dubious ; half doubting ; skeptical,40048,7,v,十
半夜,半夜,bàn yè,in the middle of the night ; midnight,4212,2,t,十
半真半假,半真半假,bàn zhēn bàn jiǎ,(idiom) half true and half false,70634,7,,十
伴,伴,bàn,partner; companion; comrade; associate ; to accompany,3537,7,"v,g",亻
伴侣,伴侶,bàn lǚ,companion ; mate ; partner,6851,7,n,亻
伴随,伴隨,bàn suí,concomitant ; to accompany ; to follow ; to occur together with,6047,7,v,亻
伴奏,伴奏,bàn zòu,to accompany (musically),13684,7,"v,vn",亻
拌,拌,bàn,to mix ; to mix in ; to toss (a salad),9875,7,v,扌
扮,扮,bàn,to disguise oneself as ; to dress up ; to play (a role) ; to put on (an expression),6738,7,v,扌
扮演,扮演,bàn yǎn,to act ; to play the role of,3471,5,v,扌
帮,幇 | 幚 | 幫,bāng,"clique ; for sb (i.e. as a help) ; gang ; group ; hired (as worker) ; old variant of 帮 ; outer layer ; party ; secret society ; side (of pail, boat etc) ; to assist ; to help ; to support ; upper (of a shoe)",395,1,"v,q",巾
帮忙,幫忙,bāng máng,to do a favor ; to do a good turn ; to help ; to lend a hand,1860,1,"v,vn",巾
帮手,幫手,bāng shǒu,helper; assistant,10534,7,n,巾
帮助,幫助,bāng zhù,assistance; aid ; to help; to assist,499,2,"v,vn",巾
绑,綁,bǎng,bind or fasten together ; to kidnap ; to tie,5003,7,v,纟
绑架,綁架,bǎng jià,a kidnapping ; abduction ; staking ; to abduct ; to hijack ; to kidnap,3992,7,"v,vn",纟
榜样,榜樣,bǎng yàng,example ; model,6902,7,n,木
傍晚,傍晚,bàng wǎn,at dusk ; at night fall ; in the evening ; towards evening ; when night falls,9979,6,t,亻
棒,棒,bàng,capable ; classifier for legs of a relay race ; club ; cudgel ; smart ; stick ; strong ; wonderful,1228,5,"a,g,q",木
棒球,棒球,bàng qiú,baseball,9599,7,n,木
磅,磅,bàng,"(loanword) pound (unit of weight, about 454 grams) ; (printing) point (unit used to measure the size of type) ; scale (instrument for weighing) ; to weigh",5014,7,q,石
包,包,Bāo | bāo,bag ; bundle ; container ; package ; packet ; surname Bao ; to contract (to or for) ; to cover ; to hold ; to hold or embrace ; to include ; to take charge of ; to wrap ; wrapper,755,1,"v,n,q",勹
包袱,包袱,bāo fu,a bundle wrapped in cloth ; burden ; funny part ; load ; punchline ; weight ; wrapping cloth,9285,7,n,勹
包裹,包裹,bāo guǒ,bundle ; package ; parcel ; to bind up ; to wrap up,5432,4,"n,v",勹
包含,包含,bāo hán,to contain ; to embody ; to include,5524,4,v,勹
包括,包括,bāo kuò,to comprise ; to consist of ; to include ; to incorporate ; to involve,788,4,v,勹
包容,包容,bāo róng,inclusive ; to contain ; to forgive ; to hold ; to pardon ; to show tolerance,10708,7,"v,vn",勹
包围,包圍,bāo wéi,to encircle ; to hem in ; to surround,5295,5,"v,vn",勹
包扎,包扎 | 包紮,bāo zā,to bind up (a wound) ; to pack ; to wrap up ; variant of 包扎,14432,7,"v,vn",勹
包装,包裝,bāo zhuāng,packaging ; to pack ; to package ; to wrap,4634,5,"n,v,vn",勹
包子,包子,bāo zi,bao (steamed stuffed bun),16315,1,n,勹
煲,煲,bāo,pot ; saucepan ; to cook slowly over a low flame,14364,7,v,火
薄,薄,Bó | báo | bò | bó,cold in manner ; frivolous ; indifferent ; infertile ; light ; meager ; see 荷 ; slight ; surname Bo ; thin ; to approach or near ; to belittle ; to despise ; to look down on ; ungenerous or unkind ; weak,4129,4,a,艹
薄弱,薄弱,bó ruò,weak; frail,10648,5,a,艹
宝,寳 | 寶,bǎo,gem ; jewel ; precious ; treasure ; variant of 宝,1908,4,"n,v",宀
宝宝,寶寶,bǎo bao,darling; baby,1968,4,n,宀
宝贝,寶貝,bǎo bèi,baby ; cowry ; darling ; good-for-nothing or queer character ; treasure ; treasured object,1003,4,n,宀
宝藏,寶藏,bǎo zàng,(Buddhism) the treasure of Buddha's law ; (fig.) treasure ; hidden treasure ; precious mineral deposits,11504,7,n,宀
宝贵,寶貴,bǎo guì,precious ; to set store by ; to treasure ; to value ; valuable,5572,4,a,宀
宝库,寶庫,bǎo kù,"treasure-house ; treasure-trove (often fig., book of treasured wisdom) ; treasury",22455,7,n,宀
宝石,寶石,bǎo shí,precious stone; gem,8615,4,"n,nz",宀
饱,飽,bǎo,satisfied ; to eat till full,4742,2,"a,ad,v",饣
饱和,飽和,bǎo hé,saturated; filled to capacity,19403,7,"v,vn",饣
饱满,飽滿,bǎo mǎn,full ; plump,16473,7,a,饣
保,保,Bǎo | bǎo,Bulgaria ; Bulgarian ; abbr. for 保加利亚 ; civil administration unit in the baojia 甲 system (old) ; to defend; to protect; to keep ; to guarantee; to ensure,1597,3,"v,b",亻
保安,保安,bǎo ān,public security ; security guard ; to ensure public security ; to ensure safety (for workers engaged in production),3028,3,"b,n,v",亻
保持,保持,bǎo chí,to hold ; to keep ; to maintain ; to preserve,644,3,"v,vn",亻
保存,保存,bǎo cún,to conserve ; to keep ; to preserve ; to save (a file etc) (computing),3916,3,"v,vn",亻
保管,保管,bǎo guǎn,certainly ; curator ; custodian ; surely ; to guarantee ; to have in one's care ; to hold in safekeeping,7305,7,"v,vn",亻
保护,保護,bǎo hù,protection ; to defend ; to protect ; to safeguard,536,3,"v,vn",亻
保健,保健,bǎo jiàn,health care ; health protection ; to maintain in good health,8782,6,n,亻
保留,保留,bǎo liú,to have reservations (about sth) ; to hold back (from saying sth) ; to keep ; to put aside for later ; to retain,2921,3,"v,vn",亻
保密,保密,bǎo mì,to keep sth confidential ; to maintain secrecy,5279,4,"v,vn",亻
保姆,保姆,bǎo mǔ,housekeeper ; nanny,5382,7,n,亻
保暖,保暖,bǎo nuǎn,to keep warm,9897,7,"a,an,v",亻
保守,保守,bǎo shǒu,conservative ; to guard ; to keep,4898,4,"a,v,an",亻
保卫,保衛,bǎo wèi,to defend ; to safeguard,5011,5,"v,vn",亻
保鲜,保鮮,bǎo xiān,to keep fresh,16569,7,"vn,v",亻
保险,保險,bǎo xiǎn,be bound to ; be sure ; insurance ; safe ; secure ; to insure,1430,3,"n,a,v",亻
保修,保修,bǎo xiū,guarantee; warranty ; to promise to keep sth in good repair,22465,7,"v,vn",亻
保养,保養,bǎo yǎng,maintenance ; to keep in good repair ; to maintain ; to take good care of (or conserve) one's health,10030,5,"v,vn",亻
保佑,保佑,bǎo yòu,blessing ; to bless and protect,4727,7,"v,vn",亻
保障,保障,bǎo zhàng,to ensure ; to guarantee ; to safeguard,3491,7,"vn,v",亻
保证,保證,bǎo zhèng,guarantee ; to ensure ; to guarantee ; to pledge ; to safeguard,586,3,"v,vn",亻
保质期,保質期,bǎo zhì qī,expiration date ; shelf life,23667,7,n,亻
保重,保重,bǎo zhòng,to take care of oneself,9105,7,v,亻
堡垒,堡壘,bǎo lěi,fort,12525,7,n,土
报,報,bào,newspaper ; recompense ; report ; revenge ; to announce ; to inform,967,3,"n,v",扌
报仇,報仇,bào chóu,to avenge ; to take revenge,8334,7,"v,vn",扌
报酬,報酬,bào chou,remuneration ; reward,6322,7,n,扌
报答,報答,bào dá,to repay ; to requite,11736,5,"v,vn",扌
报到,報到,bào dào,to check in ; to register ; to report for duty,8953,3,"v,vn",扌
报道,報道,bào dào,report ; to report (news),886,3,"v,n,vn",扌
报废,報廢,bào fèi,to scrap; to dispose of (sth worn-out or damaged),15621,7,"v,vn",扌
报复,報復,bào fù,revenge; retaliation ; to make reprisals; to retaliate,4880,7,"v,vn",扌
报告,報告,bào gào,lecture ; report ; speech ; talk ; to inform ; to make known ; to report,681,3,"n,v",扌
报警,報警,bào jǐng,to report sth to the police ; to sound an alarm,2972,5,"v,vn",扌
报刊,報刊,bào kān,newspapers and periodicals ; the press,15103,6,n,扌
报考,報考,bào kǎo,to enter oneself for an examination,23743,6,"v,vn",扌
报名,報名,bào míng,to apply ; to enlist ; to enroll ; to enter one's name ; to register ; to sign up,4602,2,"v,vn",扌
报社,報社,bào shè,newspaper (i.e. a company),8300,7,n,扌
报亭,報亭,bào tíng,kiosk ; newsstand,1000000,7,,扌
报销,報銷,bào xiāo,to apply for reimbursement ; to submit an expense account ; to wipe out ; to write off,12447,7,"v,vn",扌
报纸,報紙,bào zhǐ,newspaper ; newsprint,2232,2,n,扌
抱,抱,bào,(coll.) (of clothes) to fit nicely ; to carry (in one's arms) ; to cherish ; to embrace ; to hold ; to hug ; to surround,1238,4,v,扌
抱负,抱負,bào fù,ambition ; aspiration,20578,7,n,扌
抱歉,抱歉,bào qiàn,sorry! ; to be sorry ; to feel apologetic,4909,6,"a,an,ad",扌
抱怨,抱怨,bào yuàn,to complain ; to feel dissatisfied ; to grumble ; to harbor a complaint,3331,5,"v,vn",扌
豹,豹,bào,leopard ; panther,7248,7,"n,g",豸
暴风雨,暴風雨,bào fēng yǔ,rainstorm ; storm ; tempest,13978,6,n,日
暴风骤雨,暴風驟雨,bào fēng zhòu yǔ,hurricane ; tempest ; violent wind and rainstorm,47595,7,l,日
暴力,暴力,bào lì,force ; violence ; violent,2995,6,n,日
暴利,暴利,bào lì,sudden huge profits,27880,7,n,日
暴露,暴露,bào lù,also pr. [pù lù] ; to expose ; to lay bare ; to reveal,3702,6,"v,vn",日
暴雨,暴雨,bào yǔ,rainstorm ; torrential rain,10782,6,n,日
暴躁,暴躁,bào zào,irascible ; irritable ; violent,12213,7,a,日
爆,爆,bào,to explode or burst ; to quick fry or quick boil,1953,6,"v,vn",火
爆发,爆發,bào fā,to break out ; to burst out ; to erupt ; to explode,3458,6,"v,vn",火
爆冷门,爆冷門,bào lěng mén,a breakthrough ; an upset (esp. in sports) ; to pull off a coup ; unexpected turn of events,84475,7,v,火
爆满,爆滿,bào mǎn,"filled to capacity (of theater, stadium, gymnasium etc)",24881,7,v,火
爆炸,爆炸,bào zhà,explosion ; to blow up ; to detonate ; to explode,1772,6,"v,vn",火
爆竹,爆竹,bào zhú,firecracker,16172,7,n,火
卑鄙,卑鄙,bēi bǐ,base ; contemptible ; despicable ; mean,10658,7,a,十
杯,杯 | 桮 | 盃,bēi,"classifier for certain containers of liquids: glass, cup ; cup ; trophy cup ; variant of 杯",684,1,"q,g",木
杯子,杯子,bēi zi,cup ; glass,6162,1,n,木
悲哀,悲哀,bēi āi,grieved ; sorrowful,6059,7,"an,a",心
悲惨,悲慘,bēi cǎn,miserable ; tragic,8154,6,a,心
悲观,悲觀,bēi guān,pessimistic,10593,7,"a,ad",心
悲欢离合,悲歡離合,bēi huān lí hé,joys and sorrows ; partings and reunions ; the vicissitudes of life,57812,7,l,心
悲剧,悲劇,bēi jù,tragedy,3680,5,n,心
悲伤,悲傷,bēi shāng,sad; sorrowful,3739,5,"a,an",心
悲痛,悲痛,bēi tòng,grieved ; sorrowful,10078,7,"an,a",心
碑,碑,bēi,a monument ; an upright stone tablet ; stele,16576,7,n,石
北,北,běi,(classical) to be defeated ; north,1835,1,f,匕
北边,北邊,běi biān,north ; north side ; northern part ; to the north of,17637,1,f,匕
北部,北部,běi bù,northern part,5420,3,f,匕
北方,北方,běi fāng,China north of the Yellow River ; north ; the northern part a country,4879,2,"s,f",匕
北极,北極,běi jí,the North Pole; the Arctic Pole ; the north magnetic pole,13047,5,"n,ns",匕
北京,北京,Běi jīng,"Beijing, capital of the People's Republic of China",4799,1,ns,匕
贝壳,貝殼,bèi ké,also pr. [bèi qiào] ; conch ; cowry ; hard outer skin ; mother of pearl ; shell,16537,7,n,贝
备课,備課,bèi kè,(of a teacher) to prepare lessons,33147,7,v,夂
备受,備受,bèi shòu,to fully experience (good or bad),8775,7,v,夂
备用,備用,bèi yòng,alternate ; backup ; reserve ; spare,7153,7,"vn,v",夂
背,揹 | 背,bèi | bēi,hard of hearing ; the back of a body or object ; to be burdened ; to carry on the back or shoulder ; to hide something from ; to learn by heart ; to recite from memory ; to turn one's back ; unlucky (slang) ; variant of 背,1623,2,"v,n",⺼
背包,背包,bēi bāo,blanket roll ; field pack ; infantry pack ; knapsack ; rucksack,8274,5,n,⺼
背后,背後,bèi hòu,at the back ; behind ; behind sb's back ; in the rear,2349,3,f,⺼
背景,背景,bèi jǐng,(fig.) powerful backer ; background; backdrop; context,2420,4,n,⺼
背面,背面,bèi miàn,the back ; the reverse side ; the wrong side,10439,7,f,⺼
背叛,背叛,bèi pàn,to betray,5017,7,"v,vn",⺼
背诵,背誦,bèi sòng,to recite ; to repeat from memory,19524,7,v,⺼
