simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
午餐,午餐,wǔ cān,lunch ; luncheon,4296,2,"n,v",十
午饭,午飯,wǔ fàn,lunch,4986,1,n,十
午睡,午睡,wǔ shuì,siesta ; to take a nap,19822,2,v,十
武力,武力,wǔ lì,military force,10347,7,n,止
武器,武器,wǔ qì,arms ; weapon,1505,3,n,止
武术,武術,wǔ shù,all kinds of martial art sports (some claiming spiritual development) ; also called kungfu 功夫 ; military skill or technique (in former times) ; self-defense ; tradition of choreographed fights from opera and film (recent usage),9314,3,n,止
武装,武裝,wǔ zhuāng,armed (forces) ; arms ; equipment ; military ; to arm,3152,7,"n,vn,v",止
侮辱,侮辱,wǔ rǔ,dishonor ; to humiliate ; to insult,6712,7,"v,vn",亻
捂,捂,wǔ,"contrary ; to contradict ; to cover up (an affair) ; to cover with the hand (one's eyes, nose or ears) ; to enclose",11743,7,v,扌
舞,舞,wǔ,to brandish ; to dance ; to wield,1675,5,"v,n",舛
舞蹈,舞蹈,wǔ dǎo,dance (performance art) ; dancing,2684,6,n,舛
舞台,舞臺,wǔ tái,(lit. and fig.) stage; arena,2023,3,n,舛
舞厅,舞廳,wǔ tīng,ballroom ; dance hall,16879,7,n,舛
勿,勿,wù,do not,6999,7,d,勹
物价,物價,wù jià,(commodity) prices,17118,5,n,牛
物流,物流,wù liú,distribution (business) ; logistics,34629,7,n,牛
物品,物品,wù pǐn,articles; goods,3016,6,n,牛
物体,物體,wù tǐ,object; body; substance,7517,7,n,牛
物业,物業,wù yè,"abbr. for 物业管理, property management ; property ; real estate",12455,5,n,牛
物证,物證,wù zhèng,material evidence,17180,7,n,牛
物质,物質,wù zhì,material ; materialistic ; matter ; substance,2353,5,n,牛
物资,物資,wù zī,goods ; supplies,9165,7,n,牛
误,誤,wù,error ; mistake ; mistakenly ; to delay ; to harm ; to miss ; to neglect,4850,6,"v,d,g",讠
误差,誤差,wù chā,difference ; error ; inaccuracy,15847,7,n,讠
误导,誤導,wù dǎo,misleading ; to misguide ; to mislead,9535,7,"v,vn",讠
误会,誤會,wù huì,misunderstanding ; to mistake ; to misunderstand,4880,4,"v,vn",讠
误解,誤解,wù jiě,misunderstanding ; to misunderstand,6851,5,"v,n,vn",讠
误区,誤區,wù qū,misconceptions ; mistaken ideas ; the error of one's ways,26395,7,n,讠
雾,霧,wù,fog ; mist,4332,7,n,雨
务必,務必,wù bì,must ; to be sure to ; to need to,10677,7,d,夂
务实,務實,wù shí,dealing with concrete issues ; pragmatic,20393,7,"v,vn",夂
吸,吸,xī,to absorb ; to breathe ; to inhale ; to suck in,2340,4,v,口
吸毒,吸毒,xī dú,to take drugs,6447,6,"v,vn",口
吸管,吸管,xī guǎn,(drinking) straw ; eyedropper ; pipette ; snorkel,18880,4,n,口
吸纳,吸納,xī nà,to absorb ; to accept ; to admit ; to take in,20140,7,v,口
吸取,吸取,xī qǔ,"to absorb ; to assimilate ; to draw (a lesson, insight etc)",7936,7,v,口
吸收,吸收,xī shōu,to absorb ; to assimilate ; to ingest ; to recruit,4256,4,"v,vn",口
吸烟,吸煙,xī yān,to smoke,5921,4,"v,vn",口
吸引,吸引,xī yǐn,to attract; to appeal to; to fascinate,1617,4,v,口
希望,希望,xī wàng,a hope; a wish ; to hope,182,3,"v,n,vn",巾
昔日,昔日,xī rì,former days ; in the past,14974,7,t,日
牺牲,犧牲,xī shēng,beast slaughtered as a sacrifice ; to sacrifice (sth valued) ; to sacrifice one's life,3100,6,"v,vn",牛
稀,稀,xī,rare ; sparse ; uncommon ; watery,8894,7,"a,g",禾
稀罕,稀罕,xī han,Taiwan pr. [xī hǎn] ; rare thing; rarity ; rare; uncommon ; to value as a rarity; to cherish,16474,7,"a,v",禾
稀奇,稀奇,xī qí,rare ; strange,18938,7,a,禾
稀少,稀少,xī shǎo,rare ; sparse,20630,7,a,禾
锡,錫,xī,Taiwan pr. [xí] ; tin (chemistry) ; to bestow ; to confer ; to grant,9399,7,"n,b",钅
熄火,熄火,xī huǒ,"(fig.) to die down ; (of a vehicle) to stall ; (of fire, lamp etc) to go out ; to put out (fire)",18547,7,v,火
熙熙攘攘,熙熙攘攘,xī xī rǎng rǎng,bustling with activity (idiom),30846,7,v,灬
嬉笑,嬉笑,xī xiào,to be laughing and playing ; to giggle,36701,7,"v,vn",女
膝盖,膝蓋,xī gài,(Internet slang) to kneel down (in admiration) ; knee,5803,7,n,⺼
习惯,習慣,xí guàn,custom ; habit ; to be used to ; usual practice,1251,2,"n,v",冫
习俗,習俗,xí sú,convention ; custom ; local tradition ; tradition,10748,7,n,冫
席,席 | 蓆,Xí | xí,"banquet ; classifier for banquets, conversations etc ; place in a democratic assembly ; seat ; surname Xi ; variant of 席 ; woven mat",5971,7,"qt,g",巾
席位,席位,xí wèi,"a seat (in a theater, stadium etc) ; parliamentary or congressional seat",10016,7,n,巾
袭击,襲擊,xí jī,attack (esp. surprise attack) ; raid ; to attack,1984,7,"v,vn",龙
媳妇,媳婦,xí fù,daughter-in-law ; wife (of a younger man) ; young married woman ; young woman,13013,7,n,女
洗,洗,xǐ,to develop (photographs) ; to erase (a recording) ; to shuffle (cards etc) ; to wash; to bathe,1298,1,v,氵
洗涤剂,洗滌劑,xǐ dí jì,cleaning agent ; detergent,34376,7,n,氵
洗礼,洗禮,xǐ lǐ,baptism (lit. or fig.),12267,7,"n,vn,v",氵
洗手间,洗手間,xǐ shǒu jiān,lavatory ; toilet ; washroom,9674,1,n,氵
洗衣粉,洗衣粉,xǐ yī fěn,laundry detergent ; washing powder,27239,6,n,氵
洗衣机,洗衣機,xǐ yī jī,washing machine; washer,10344,2,n,氵
洗澡,洗澡,xǐ zǎo,to bathe ; to take a shower,3512,2,"v,vn",氵
喜爱,喜愛,xǐ ài,favorite ; to be fond of ; to like ; to love,4247,4,"v,vn",口
喜出望外,喜出望外,xǐ chū wàng wài,overjoyed at the turn of events ; to be pleased beyond one's expectations (idiom),29648,7,v,口
喜好,喜好,xǐ hào,fond of ; one's tastes ; preference ; to like ; to love ; to prefer,11945,7,"vn,v,an",口
喜欢,喜歡,xǐ huan,to like; to be fond of,139,1,"v,vn",口
喜酒,喜酒,xǐ jiǔ,liquor drunk at a wedding feast ; wedding feast,42048,7,n,口
喜剧,喜劇,xǐ jù,comedy,5717,5,n,口
喜怒哀乐,喜怒哀樂,xǐ nù āi lè,"four types of human emotions, namely: happiness 欢喜, anger 愤怒, sorrow 哀 and joy 快乐",26105,7,l,口
喜庆,喜慶,xǐ qìng,festive ; jubilation,18509,7,"v,vn",口
喜事,喜事,xǐ shì,happy occasion ; wedding,22506,7,n,口
喜糖,喜糖,xǐ táng,sweet given on a happy occasion (esp. wedding),30010,7,,口
喜洋洋,喜洋洋,xǐ yáng yáng,radiant with joy,36979,7,,口
喜悦,喜悅,xǐ yuè,happy ; joyous,7848,7,"an,a",口
戏,戯 | 戲,xì,drama ; play ; show ; trick ; variant of 戏,1763,5,"n,g",戈
戏剧,戲劇,xì jù,a drama; a play; theater ; script of a play,5290,5,n,戈
戏曲,戲曲,xì qǔ,Chinese opera,46627,6,n,戈
系,係 | 系 | 繫,jì | xì,department ; faculty ; system ; to arrest ; to be (literary) ; to bind ; to button up ; to connect ; to fasten ; to relate to ; to tie ; to tie up ; to worry,1415,3,"v,n",糸
系列,系列,xì liè,series ; set,2176,4,"q,n",糸
系统,系統,xì tǒng,system,552,4,"n,ad,a",糸
细,細,xì,(of a sound) quiet ; delicate ; fine ; finely particulate ; frugal ; thin and soft ; thin or slender ; trifling,3744,4,"a,ad",纟
细胞,細胞,xì bāo,cell (biology),2532,6,n,纟
细节,細節,xì jié,details ; particulars,2507,4,n,纟
细菌,細菌,xì jūn,bacterium ; germ,5314,6,n,纟
细腻,細膩,xì nì,exquisite ; meticulous,12755,7,"a,an",纟
细微,細微,xì wēi,fine ; minute ; sensitive (instruments) ; subtle ; tiny,13506,7,a,纟
细心,細心,xì xīn,attentive ; careful,10169,7,"a,ad,an",纟
细致,細緻,xì zhì,careful ; delicate ; fine ; meticulous ; painstaking,11083,4,a,纟
西,西,Xī | xī,Spanish ; abbr. for Spain 牙 ; the West ; west,958,1,"f,b",西
西班牙语,西班牙語,Xī bān yá yǔ,Spanish language,17382,6,nz,西
西北,西北,Xī běi | xī běi,"Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang) ; northwest",7263,2,"s,ns,f",西
西边,西邊,xī biān,to the west of ; west ; west side ; western part,14628,1,"f,nr",西
西部,西部,xī bù,western part,3207,3,f,西
西餐,西餐,xī cān,Western-style food,31561,2,n,西
西方,西方,Xī fāng,Western countries ; the Occident ; the West,4391,2,"s,f",西
西瓜,西瓜,xī guā,watermelon,9098,4,n,西
西红柿,西紅柿,xī hóng shì,tomato,10725,5,n,西
西南,西南,xī nán,southwest,7237,2,"s,f,ns",西
西医,西醫,xī yī,Western medicine ; a doctor trained in Western medicine,25471,2,n,西
西装,西裝,xī zhuāng,Western-style clothes ; suit,6433,5,n,西
息息相关,息息相關,xī xī xiāng guān,closely bound up (idiom); intimately related,19632,7,v,心
虾,蝦,há | xiā,prawn ; shrimp ; used in 虾蟆,5399,7,n,虫
瞎,瞎,xiā,blind ; foolishly ; groundlessly ; to no purpose,3932,7,"d,v,a",目
侠义,俠義,xiá yì,chivalrous ; chivalry ; knight-errantry,39235,7,a,亻
峡谷,峽谷,xiá gǔ,canyon ; gill ; ravine,10789,7,n,山
狭隘,狹隘,xiá ài,lacking in experience ; narrow ; narrow minded ; tight,17946,7,a,犭
狭小,狹小,xiá xiǎo,narrow,17182,7,a,犭
狭窄,狹窄,xiá zhǎi,narrow,10765,7,a,犭
下,下,xià,"below ; down ; downwards ; later ; lower ; measure word to show the frequency of an action ; next (week etc) ; second (of two parts) ; to arrive at (a decision, conclusion etc) ; to decline ; to go down",70,1,"v,f,qt,g",一
下班,下班,xià bān,to finish work ; to get off work,3207,1,"v,vn",一
下边,下邊,xià bian,below ; the underside ; under,19063,1,f,一
下场,下場,xià chang | xià chǎng,"the end ; to conclude ; to leave (the stage, an exam room, the playing field etc) ; to take an examination (in the imperial examination system) ; to take part in some activity",7197,7,"n,v",一
下车,下車,xià chē,"to get off or out of (a bus, train, car etc)",6014,1,"v,vn",一
下次,下次,xià cì,next time,2268,1,t,一
下调,下調,xià diào | xià tiáo,"to adjust downwards ; to demote ; to lower (prices, wages etc) ; to pass down to a lower unit",25370,7,v,一
下跌,下跌,xià diē,to fall ; to tumble,10596,7,v,一
下岗,下崗,xià gǎng,"(of a guard, sentry etc) to come off duty ; (of a worker) be to laid off",13460,7,"v,vn",一
下个月,下個月,xià gè yuè,next month,1000000,4,,一
下功夫,下功夫,xià gōng fu,see 夫,18471,7,v,一
下海,下海,xià hǎi,"(fig.) to take the plunge (e.g. leave a secure job, or enter prostitution etc) ; to enter the sea (to swim etc) ; to go out to sea",20606,7,v,一
下级,下級,xià jí,low level ; low ranking ; subordinate ; underclass,19150,7,n,一
下降,下降,xià jiàng,to decline ; to decrease ; to drop ; to fall ; to go down,2377,4,"v,vn",一
下决心,下決心,xià jué xīn,to determine ; to resolve,14875,7,v,一
下课,下課,xià kè,(fig.) (esp. of a sports coach) to be dismissed ; to be fired ; to finish class ; to get out of class,9694,1,"v,vn",一
下来,下來,xià lai,"(after verb of motion, indicates motion down and towards us, also fig.) ; (completed action marker) ; (indicates continuation from the past towards us) ; to be harvested (of crops) ; to be over (of a period of time) ; to come down ; to go among the masses (said of leaders)",628,3,v,一
下令,下令,xià lìng,to command ; to give an order,7284,7,v,一
下楼,下樓,xià lóu,to go downstairs,11084,4,,一
下落,下落,xià luò,to drop ; to fall ; whereabouts,8624,7,"n,v",一
下面,下面 | 下麵,xià miàn,also pr. [xià mian] ; below ; next ; the following ; to boil noodles ; under,1459,3,f,一
下期,下期,xià qī,"next period (week, month or quarter etc)",24943,7,n,一
下棋,下棋,xià qí,to play chess,16593,7,v,一
下去,下去,xià qù,(of a servant) to withdraw ; to continue ; to descend ; to go down ; to go on,838,3,v,一
下山,下山,xià shān,(of the sun or moon) to set ; to go down a hill,16762,7,v,一
下手,下手,xià shǒu,the seat to the right of the main guest ; to put one's hand to ; to set about ; to start,5513,7,"v,n",一
下属,下屬,xià shǔ,subordinate ; underling,7832,7,"v,vn,n",一
下台,下臺,xià tái,to disentangle oneself ; to fall from position of prestige ; to get off the hook ; to go off the stage ; to step down (from office etc),11392,7,v,一
下午,下午,xià wǔ,afternoon ; p.m.,782,1,t,一
下乡,下鄉,xià xiāng,to go to the countryside,35280,7,v,一
下雪,下雪,xià xuě,to snow,7185,2,v,一
下旬,下旬,xià xún,last third of the month,26057,7,t,一
下一代,下一代,xià yī dài,the next generation,12563,7,n,一
下意识,下意識,xià yì shí,subconscious mind,18088,7,"n,v,d",一
下游,下游,xià yóu,downstream ; lower echelon ; lower level ; lower reaches (of a river),14062,7,"f,n,s",一
下雨,下雨,xià yǔ,to rain,5648,1,v,一
下载,下載,xià zǎi,also pr. [xià zài] ; to download,4502,4,v,一
下周,下週,xià zhōu,next week,1000000,2,,一
下坠,下墜,xià zhuì,(medicine) to experience tenesmus ; (of objects) to fall ; to droop ; to drop,30023,7,v,一
吓,嚇,hè | xià,(interjection showing astonishment) ; (interjection showing disapproval) tut-tut ; to frighten ; to intimidate ; to scare ; to threaten,1856,5,v,口
吓唬,嚇唬,xià hu,to frighten ; to scare,13521,7,v,口
吓人,嚇人,xià rén,frightening ; scary ; to scare,6592,7,"a,v",口
夏季,夏季,xià jì,summer,7332,4,t,夊
夏令营,夏令營,xià lìng yíng,summer camp,13625,7,n,夊
夏天,夏天,xià tiān,summer,2925,2,t,夊
先,先,xiān,early ; first ; former ; in advance ; prior,306,1,"d,g",儿
先锋,先鋒,xiān fēng,avant-garde ; pioneer ; vanguard,10956,6,n,儿
先后,先後,xiān hòu,early or late ; in succession ; one after another ; priority,9452,5,d,儿
先进,先進,xiān jìn,advanced (technology) ; to advance,3190,3,"a,n",儿
先例,先例,xiān lì,antecedent ; precedent,14275,7,n,儿
先前,先前,xiān qián,before; previously,7581,5,t,儿
先生,先生,xiān sheng,(dialect) doctor ; gentleman; sir; mister (Mr.) ; husband ; teacher,586,1,n,儿
先天,先天,xiān tiān,embryonic period (contrasted with 后天 [hòu tiān]) ; inborn ; innate ; natural,16558,7,n,儿
纤维,纖維,xiān wéi,fiber,4880,7,n,纟
掀,掀,xiān,to convulse ; to lift (a lid) ; to rock,13713,7,v,扌
掀起,掀起,xiān qǐ,"(fig.) to trigger; set off (a wave of popularity, a controversy etc) ; (of a storm) to surge; to stir up (waves etc) ; to lift; to raise (a lid etc)",8186,7,v,扌
鲜,尟 | 尠 | 鮮 | 鱻,xiān | xiǎn,aquatic foods ; bright (in color) ; delicacy ; delicious ; few ; fish ; fresh ; old variant of 鲜 ; rare ; tasty ; variant of 鲜,6056,4,"a,g,ad",鱼
鲜花,鮮花,xiān huā,flower ; fresh flowers,6737,4,n,鱼
鲜活,鮮活,xiān huó,(of food ingredients) live or fresh ; lively ; vivid,14248,7,a,鱼
鲜美,鮮美,xiān měi,delicious ; tasty,22932,7,a,鱼
鲜明,鮮明,xiān míng,bright ; clear-cut ; distinct,10344,4,a,鱼
鲜血,鮮血,xiān xuè,blood,6558,7,n,鱼
鲜艳,鮮艷,xiān yàn,bright-colored; gaily-colored,15101,5,a,鱼
闲,閑 | 閒,xián,(variant of 闲) idle ; enclosure ; idle ; leisure ; unoccupied,5440,5,"v,a,ad",门
弦,弦,xián,bow string ; chord (segment of curve) ; hypotenuse ; string of musical instrument ; watchspring,8692,7,n,弓
咸,咸 | 鹹,Xián | xián,all ; each ; everyone ; harmonious ; miserly ; salted ; salty ; stingy ; surname Xian ; widespread,7379,4,a,口
衔接,銜接,xián jiē,to link up; to connect; to join,19609,7,"v,vn",彳
嫌,嫌,xián,"abbr. for 犯, criminal suspect ; enmity ; resentment ; suspicion ; to dislike",5973,6,"v,g",女
嫌弃,嫌棄,xián qì,to regard with disdain ; to shun,15715,7,v,女
嫌疑,嫌疑,xián yí,suspicion ; to have suspicions,7043,7,n,女
显,顯,xiǎn,(prefix) phanero- ; conspicuous ; prominent ; to make visible ; to reveal,3543,5,"v,g",日
显出,顯出,xiǎn chū,to exhibit ; to express,14141,6,v,日
显得,顯得,xiǎn de,to appear ; to look ; to seem,2352,3,v,日
显而易见,顯而易見,xiǎn ér yì jiàn,clearly ; clearly and easy to see (idiom); obviously ; it goes without saying,10457,7,l,日
显赫,顯赫,xiǎn hè,celebrated ; illustrious,18526,7,a,日
显然,顯然,xiǎn rán,clearly; evidently; obviously,1345,3,"a,ad",日
显示,顯示,xiǎn shì,to demonstrate ; to display ; to illustrate ; to show,1030,3,"v,vn",日
显示器,顯示器,xiǎn shì qì,monitor (computer),11588,7,n,日
显现,顯現,xiǎn xiàn,appearance ; to appear,8581,7,"v,vn",日
显眼,顯眼,xiǎn yǎn,conspicuous ; eye-catching ; glamorous,13517,7,a,日
显著,顯著,xiǎn zhù,notable ; outstanding ; remarkable ; statistically significant,1981,4,,日
险,險,xiǎn,danger ; dangerous ; rugged,3419,6,"a,g",阝
县,縣,xiàn,county,3513,4,n,厶
现场,現場,xiàn chǎng,"(at) the site ; (on) the spot ; the scene (of a crime, accident etc)",627,3,s,王
现成,現成,xiàn chéng,readily available ; ready-made,16759,7,b,王
现代,現代,Xiàn dài | xiàn dài,"Hyundai, South Korean company ; modern age ; modern era ; modern times",2512,3,t,王
现代化,現代化,xiàn dài huà,modernization,10626,3,"vn,v",王
现金,現金,xiàn jīn,cash,2030,3,n,王
现任,現任,xiàn rèn,"(coll.) current boyfriend (girlfriend, spouse) ; current (president etc) ; incumbent ; to occupy a post currently",10005,7,"b,v",王
现实,現實,xiàn shí,actual ; actuality ; materialistic ; pragmatic ; real ; realistic ; reality ; self-interested,1237,3,"n,a",王
现象,現象,xiàn xiàng,appearance ; phenomenon,2440,3,n,王
现行,現行,xiàn xíng,current ; in force ; to be in effect,11397,7,b,王
现有,現有,xiàn yǒu,currently available ; currently existing,5606,5,"v,vn",王
现在,現在,xiàn zài,at present ; at the moment ; current ; modern ; now ; nowadays,77,1,t,王
现状,現狀,xiàn zhuàng,current situation,5540,5,n,王
线,綫 | 線,xiàn,(after a number) tier (unofficial ranking of a Chinese city) ; line ; string ; thread ; variant of 线 ; wire,679,3,"n,q",纟
线路,線路,xiàn lù,(electricity) line; circuit; wire ; (traffic) road; track; route,4070,6,n,纟
线索,線索,xiàn suǒ,clues ; thread (of a story) ; trail,2891,5,n,纟
线条,線條,xiàn tiáo,"line (in drawing, calligraphy etc) ; the lines or contours of a three-dimensional object (hairstyle, clothing, car etc)",8512,7,n,纟
限,限,xiàn,(bound form) limit ; bound ; to limit ; to restrict,5564,7,"v,g",阝
限定,限定,xiàn dìng,to limit ; to restrict to,16505,7,"v,vn",阝
限度,限度,xiàn dù,limit ; limitation,11462,7,n,阝
限于,限於,xiàn yú,to be confined to ; to be limited to,9451,7,v,阝
限制,限制,xiàn zhì,limit ; restriction ; to confine ; to limit ; to restrict,2479,4,"v,vn",阝
宪法,憲法,xiàn fǎ,constitution (of a country),5123,7,n,宀
陷,陷,xiàn,defect ; pitfall ; to capture (a city in battle) ; to cave in ; to fall (to the enemy) ; to frame (false charge) ; to get stuck ; to sink ; trap,6466,7,v,阝
陷阱,陷阱,xiàn jǐng,pitfall ; snare ; trap,6271,7,n,阝
陷入,陷入,xiàn rù,to get caught up in ; to land in (a predicament) ; to sink into,3109,6,v,阝
馅儿,餡兒,xiàn r,(of food) filling; stuffing ; erhua variant of 馅,52762,7,n,饣
羡慕,羨慕,xiàn mù,to admire ; to envy,4551,7,"v,vn",羊
献,獻,xiàn,to dedicate ; to donate ; to offer ; to present ; to put on display ; to show ; worthy person (old),4768,5,v,犬
献血,獻血,xiàn xuè,to donate blood,14055,7,"v,vn",犬
腺,腺,xiàn,gland,13774,7,n,⺼
仙鹤,仙鶴,xiān hè,red-crowned crane (Grus japonensis),42178,7,n,亻
仙女,仙女,xiān nǚ,fairy,11436,7,n,亻
乡,鄉,xiāng,country or countryside ; home village or town ; native place ; township (PRC administrative unit),5793,5,n,幺
乡村,鄉村,xiāng cūn,countryside ; rustic ; village,4094,5,n,幺
乡亲,鄉親,xiāng qīn,fellow countryman (from the same village) ; local people ; the folks back home ; villager,21178,7,n,幺
乡下,鄉下,xiāng xia,countryside ; rural area,9308,7,s,幺
相伴,相伴,xiāng bàn,to accompany each other ; to accompany sb,9989,7,v,目
相比,相比,xiāng bǐ,to compare,2934,3,v,目
相比之下,相比之下,xiāng bǐ zhī xià,by comparison,21165,7,v,目
相差,相差,xiāng chà,discrepancy between ; to differ,11680,7,v,目
相处,相處,xiāng chǔ,"to associate ; to be in contact (with sb) ; to get along (well, poorly) ; to interact",3898,4,"v,vn",目
相传,相傳,xiāng chuán,according to legend ; to hand down ; to pass on ; tradition has it that ...,22657,7,v,目
相当,相當,xiāng dāng,appropriate ; considerably ; equivalent to ; fairly ; quite ; to a certain extent,1139,3,"d,v,vn",目
相当于,相當於,xiāng dāng yú,equivalent to,14927,7,v,目
相等,相等,xiāng děng,equal ; equally ; equivalent,20539,5,v,目
相对,相對,xiāng duì,counterpart ; opposite ; relative ; relatively ; to oppose ; to resist ; vis-a-vis,3673,7,"d,v,b",目
相对而言,相對而言,xiāng duì ér yán,comparatively speaking ; relatively speaking,28925,7,c,目
相反,相反,xiāng fǎn,contrary ; opposite,3525,4,"v,vn",目
相辅相成,相輔相成,xiāng fǔ xiāng chéng,to complement one another (idiom),39443,7,v,目
相关,相關,xiāng guān,(statistics) correlation ; pertinent ; related ; relevant ; to be interrelated,1782,3,"vn,v",目
相互,相互,xiāng hù,each other ; mutual,2492,3,"d,b",目
相机,相機,xiàng jī,as the circumstances allow ; at the opportune moment ; camera (abbr. for 照相机),3401,2,n,目
相继,相繼,xiāng jì,following closely ; in succession,13859,7,d,目
相连,相連,xiāng lián,connection ; link ; to join ; to link,9446,7,v,目
相片,相片,xiàng piàn,image ; photograph,9258,4,n,目
相声,相聲,xiàng sheng,comic dialogue ; crosstalk ; sketch,16761,5,n,目
相似,相似,xiāng sì,similar; alike,4024,3,a,目
相识,相識,xiāng shí,acquaintance ; to get to know each other,8658,7,v,目
相提并论,相提並論,xiāng tí bìng lùn,(often with negatives: impossible to mention X in the same breath as Y) ; to discuss two disparate things together (idiom); to mention on equal terms ; to place on a par with,17200,7,v,目
相通,相通,xiāng tōng,accommodating ; communicating ; connected ; in communication ; interlinked,15457,7,v,目
相同,相同,xiāng tóng,identical ; same,2110,2,a,目
相信,相信,xiāng xìn,to be convinced (that sth is true); to believe; to accept sth as true,431,2,v,目
相依为命,相依為命,xiāng yī wéi mìng,interdependent ; mutually dependent for life (idiom); to rely upon one another for survival,24505,7,v,目
相应,相應,xiāng yìng,(modify) accordingly ; answering (one another) ; appropriate ; corresponding ; relevant ; to agree (among the part) ; to correspond,6310,5,"v,vn",目
相遇,相遇,xiāng yù,to come across ; to encounter ; to meet,5707,7,"v,vn",目
相约,相約,xiāng yuē,"to agree (on a meeting place, date etc) ; to make an appointment ; to reach agreement",16205,7,v,目
香,香,xiāng,(of sleep) sound ; (to eat) with relish ; aromatic ; fragrant ; joss or incense stick ; perfume or spice ; savory or appetizing ; sweet smelling,1953,3,"n,a,v",香
香肠,香腸,xiāng cháng,sausage,11857,5,n,香
香蕉,香蕉,xiāng jiāo,banana,5473,3,n,香
香料,香料,xiāng liào,condiment ; flavoring ; perfume ; spice,14321,7,n,香
香水,香水,xiāng shuǐ,cologne ; perfume,5737,7,n,香
香味,香味,xiāng wèi,bouquet ; fragrance ; sweet smell,8749,7,n,香
香烟,香煙,xiāng yān,cigarette ; smoke from burning incense,6871,7,n,香
香油,香油,xiāng yóu,perfumed oil ; sesame oil,30870,7,n,香
箱,箱,xiāng,box ; chest ; trunk,2345,4,"g,q",⺮
箱子,箱子,xiāng zi,box ; case ; chest ; suitcase ; trunk,5854,4,n,⺮
镶,鑲,xiāng,border ; ridge ; to embed ; to inlay,13195,7,v,钅
镶嵌,鑲嵌,xiāng qiàn,tesselation ; tiling ; to embed ; to inlay ; to set (e.g. a jewel in a ring),19000,7,v,钅
详尽,詳盡,xiáng jìn,exhaustive ; the tedious details in full ; thorough and detailed,18410,7,"a,ad",讠
详细,詳細,xiáng xì,detailed ; in detail ; minute,2875,5,"a,ad",讠
祥和,祥和,xiáng hé,auspicious and peaceful,18109,7,"a,an",礻
享,享 | 亯,xiǎng,old variant of 享 ; to benefit ; to enjoy ; to have the use of,7536,7,g,亠
享受,享受,xiǎng shòu,pleasure ; to enjoy ; to live it up,1102,5,"v,vn",亠
享有,享有,xiǎng yǒu,"to enjoy (rights, privileges etc)",7670,7,v,亠
响,響,xiǎng,classifier for noises ; echo ; loud ; noise ; sound ; to make a sound ; to ring ; to sound,2237,2,"v,a,q",口
响亮,響亮,xiǎng liàng,loud and clear ; resounding,15207,7,"a,ad",口
响起,響起,xiǎng qǐ,(of a sound source) to ring out ; (of a sound) to come forth ; to go off ; to sound,6888,7,v,口
响声,響聲,xiǎng shēng,noise,16743,6,n,口
响应,響應,xiǎng yìng,answer ; to respond to,10032,7,"v,vn",口
想,想,xiǎng,to desire; to want (to) ; to miss (feel wistful about the absence of) ; to think (about) ; to think (that); to believe (that) ; to think of; to devise,44,1,v,心
想不到,想不到,xiǎng bu dào,hard to imagine ; it had not occurred to me ; unexpected ; who could have thought that,5435,6,v,心
想到,想到,xiǎng dào,to anticipate ; to call to mind ; to think of,733,2,v,心
想法,想法,xiǎng fǎ,to think of a way (to do sth) ; way of thinking; opinion; notion,1433,2,"n,v",心
想方设法,想方設法,xiǎng fāng shè fǎ,"to think up every possible method (idiom); to devise ways and means ; to try this, that and the other",12483,7,l,心
想念,想念,xiǎng niàn,to long to see again ; to miss ; to remember with longing,3090,4,v,心
想起,想起,xiǎng qǐ,to call to mind ; to recall ; to think of,1611,2,v,心
想象,想象,xiǎng xiàng,imagination ; to imagine; to envision,1608,4,"v,vn",心
向,向 | 嚮 | 曏,Xiàng | xiàng,(suffix) suitable for ... ; all along ; always ; direction ; formerly ; orientation ; oriented to ... ; shortly before ; surname Xiang ; to ; to face ; to guide ; to side with ; to support ; to tend toward ; to turn toward ; to turn towards ; towards ; variant of 向,165,2,"p,v,g",口
向导,嚮導,xiàng dǎo,guide,15744,5,n,口
向来,向來,xiàng lái,always (previously),12301,7,d,口
向前,向前,xiàng qián,forward ; onward,4314,5,v,口
向上,向上,xiàng shàng,to advance ; to make progress ; to try to improve oneself ; up ; upward,6564,5,v,口
向往,嚮往,xiàng wǎng,to look forward to ; to yearn for,8559,7,"v,vn",口
向着,向著,xiàng zhe,(coll.) to side with ; facing (sb or sth) ; to favor ; towards,13962,7,p,口
项,項,Xiàng | xiàng,"back of neck ; classifier for principles, items, clauses, tasks, research projects etc ; item ; sum (of money) ; surname Xiang ; term (in a mathematical formula) ; thing",837,4,q,页
项链,項鏈,xiàng liàn,necklace,6716,7,n,页
项目,項目,xiàng mù,(sports) event ; item ; project,908,4,n,页
象征,象徵,xiàng zhēng,badge ; emblem ; symbol ; to signify ; to stand for ; to symbolize ; token,5049,5,"n,v,vn",豕
像,像,xiàng,appearance ; image ; image under a mapping (math.) ; portrait ; such as ; to be like ; to look as if ; to resemble,151,2,"v,p,n,d",亻
像样,像樣,xiàng yàng,decent ; presentable ; up to par,14848,7,a,亻
橡胶,橡膠,xiàng jiāo,caoutchouc ; rubber,7485,7,n,木
橡皮,橡皮,xiàng pí,an eraser ; rubber,17575,7,n,木
