simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
要领,要領,yàolǐng,ㄧㄠˋ ㄌㄧㄥˇ,main aspects; essentials; gist,7-9,名,37733,9821,7-9,18.0,0.54,1.2553,18.0,0.29,1.2553,2858.0,True
似曾相识,似曾相識,sìcéng-xiāngshí,ㄙˋ ㄘㄥˊ ㄒㄧㄤ ㄕˊ,déjà vu (the experience of seeing exactly the same situation a second time); seemingly familiar; apparently already acquainted,7-9,unknown,37685,9823,7-9,80.0,2.38,1.9031,66.0,1.06,1.8195,2796.0,True
衰减,衰減,shuāijiǎn,ㄕㄨㄞ ㄐㄧㄢˇ,to weaken; to attenuate,7-9,动,37644,9824,7-9,13.0,0.39,1.1139,11.0,0.18,1.0414,2863.0,True
火候,火候,huǒhou,ㄏㄨㄛˇ ㄏㄡˋ,heat control; (fig.) mastery; (fig.) crucial moment,7-9,名,37577,9825,7-9,39.0,1.16,1.5911,37.0,0.59,1.5682,2837.0,True
异口同声,異口同聲,yìkǒu-tóngshēng,ㄧˋ ㄎㄡˇ ㄊㄨㄥˊ ㄕㄥ,"different mouths, same voice; to speak in unison (idiom)",7-9,unknown,37523,9826,7-9,15.0,0.45,1.1761,15.0,0.24,1.1761,2861.0,True
显性,顯性,xiǎnxìng,ㄒㄧㄢˇ ㄒㄧㄥˋ,visible; conspicuous; phanero-; dominant (gene),7-9,形,37482,9827,7-9,4.0,0.12,0.6021,4.0,0.06,0.6021,2872.0,True
赞不绝口,贊不絕口,zànbùjuékǒu,ㄗㄢˋ ㄅㄨˋ ㄐㄩㄝˊ ㄎㄡˇ,to praise without cease (idiom); praise sb to high heaven; to praise without cease (idiom); praise sb to high heaven,7-9,unknown,37475,9828,7-9,26.0,0.78,1.415,25.0,0.4,1.3979,2850.0,True
绷带,繃帶,bēngdài,ㄅㄥ ㄉㄞˋ,(loanword) bandage,7-9,名,37420,9829,7-9,183.0,5.46,2.2625,142.0,2.27,2.1523,2693.0,True
泥泞,泥濘,nínìng,ㄋㄧˊ ㄋㄧㄥˋ,muddy; mud,7-9,形,37316,9830,7-9,26.0,0.78,1.415,21.0,0.34,1.3222,2850.0,True
建树,建樹,jiànshù,ㄐㄧㄢˋ ㄕㄨˋ,to make a contribution; to establish; to found; contribution,7-9,动、名,37078,9832,7-9,11.0,0.33,1.0414,10.0,0.16,1.0,2865.0,True
