simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
嘛,嘛,ma,ㄇㄚ˙,used in 唵嘛呢叭咪吽[an3 ma2 ni2 ba1 mi1 hong1]; (Tw) (coll.) what?; modal particle indicating that sth is obvious; particle indicating a pause for emphasis,6,助,2432483,890,6,16472.0,491.02,4.2167,4286.0,68.65,3.6321,237.0,True
倒,倒,dào,ㄉㄠˋ,to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit; to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet,4（6）,动、（副）,2399404,906,4,6092.0,181.6,3.7848,3315.0,53.1,3.5205,548.0,True
轮,輪,lún,ㄌㄨㄣˊ,"wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn",6,名、动、量,2393416,907,6,2619.0,78.07,3.4181,1544.0,24.73,3.1886,1065.0,True
监督,監督,jiāndū,ㄐㄧㄢ ㄉㄨ,to control; to supervise; to inspect,6,动,2380924,915,6,299.0,8.91,2.4757,229.0,3.67,2.3598,2577.0,True
机制,機製,jīzhì,ㄐㄧ ㄓˋ,mechanism; machine-processed; machine-made,6,名,2361434,920,6,91.0,2.71,1.959,76.0,1.22,1.8808,2785.0,True
体系,體系,tǐxì,ㄊㄧˇ ㄒㄧˋ,system; setup; CL:個|个[ge4],6,名,2358506,921,6,183.0,5.46,2.2625,143.0,2.29,2.1553,2693.0,True
保障,保障,bǎozhàng,ㄅㄠˇ ㄓㄤˋ,to ensure; to guarantee; to safeguard,6,动、名,2357266,922,6,284.0,8.47,2.4533,213.0,3.41,2.3284,2592.0,True
贷款,貸款,dàikuǎn,ㄉㄞˋ ㄎㄨㄢˇ,a loan; CL:筆|笔[bi3]; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank),6,动、名,2252168,967,6,490.0,14.61,2.6902,300.0,4.81,2.4771,2386.0,True
科,科,kē,ㄎㄜ,branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb; CL:個|个[ge4],6,名,2246064,972,6,1269.0,37.83,3.1035,735.0,11.77,2.8663,1702.0,True
中央,中央,zhōngyāng,ㄓㄨㄥ ㄧㄤ,central; middle; center; central authorities (of a state),6,名,2245850,973,6,804.0,23.97,2.9053,501.0,8.02,2.6998,2082.0,True
升,陞,shēng,ㄕㄥ,to ascend; to rise; to promote; to elevate; liter; unit of dry measure for grain (= one liter or one-tenth dou 斗[dou3]); to ascend; to rise (variant of 升[sheng1]); to promote; to elevate (variant of 升[sheng1]); to ascend; to rise (variant of 升[sheng1]); to promote; to elevate (variant of 升[sheng1]),6,量,2241323,977,6,884.0,26.35,2.9465,628.0,10.06,2.798,2006.0,True
平方米,平方米,píngfāngmǐ,ㄆㄧㄥˊ ㄈㄤ ㄇㄧˇ,square meter,6,量,2215133,990,6,14.0,0.42,1.1461,12.0,0.19,1.0792,2862.0,True
逼,逼,bī,ㄅㄧ,variant of 逼[bi1]; to compel; to pressure; to force (sb to do sth); to compel; to press for; to extort; to press on towards; to press up to; to close in on; euphemistic variant of 屄[bi1],6,动,2179216,1007,6,2626.0,78.28,3.4193,1734.0,27.78,3.239,1063.0,True
黄,黃,huáng,ㄏㄨㄤˊ,surname Huang or Hwang; yellow; pornographic; to fall through,6,名,2136383,1034,6,979.0,29.18,2.9908,582.0,9.32,2.7649,1932.0,True
哇,哇,wā,ㄨㄚ˙,Wow!; sound of a child's crying; sound of vomiting; replaces 啊[a5] when following the vowel 'u' or 'ao',6,拟声,2121836,1039,6,9951.0,296.63,3.9979,3181.0,50.95,3.5026,358.0,True
粉,粉,fěn,ㄈㄣˇ,powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; (dialect) to whitewash; white; pink; (suffix) fan (abbr. for 粉絲|粉丝[fen3 si1]); to be a fan of,6,名、形,2102834,1045,6,537.0,16.01,2.73,346.0,5.54,2.5391,2339.0,True
剑,劒,jiàn,ㄐㄧㄢˋ,"double-edged sword; CL:口[kou3],把[ba3]; classifier for blows of a sword; variant of 劍|剑[jian4]",6,名,2088711,1049,6,1047.0,31.21,3.0199,319.0,5.11,2.5038,1868.0,True
死亡,死亡,sǐwáng,ㄙˇ ㄨㄤˊ,to die; death,6,动,2080502,1052,6,4274.0,127.41,3.6308,1967.0,31.51,3.2938,721.0,True
除,除,chú,ㄔㄨˊ,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including,6,动、介,2076961,1056,6,581.0,17.32,2.7642,441.0,7.06,2.6444,2295.0,True
制,製,zhì,ㄓˋ,system; to control; to regulate; variant of 製|制[zhi4]; to manufacture; to make,6,动,2057042,1071,6,656.0,19.55,2.8169,478.0,7.66,2.6794,2223.0,True
透露,透露,tòulù,ㄊㄡˋ ㄌㄨˋ,to leak out; to divulge; to reveal,6,动,2051262,1076,6,559.0,16.66,2.7474,466.0,7.46,2.6684,2317.0,True
公开,公開,gōngkāi,ㄍㄨㄥ ㄎㄞ,open; overt; public; to make public; to release,6,形、动,2034367,1085,6,978.0,29.15,2.9903,682.0,10.92,2.8338,1933.0,True
时尚,時尚,shíshàng,ㄕˊ ㄕㄤˋ,fashion; fad; fashionable,6,名、形,1966016,1119,6,1111.0,33.12,3.0457,442.0,7.08,2.6454,1815.0,True
端,耑,duān,ㄉㄨㄢ,(bound form) tip; end; extremity; (bound form) aspect; facet; (bound form) upright; proper; to hold sth level with both hands; to carry; to eliminate; to wipe out; old variant of 端[duan1]; start; origin,6,动,1949715,1128,6,594.0,17.71,2.7738,465.0,7.45,2.6675,2282.0,True
股票,股票,gǔpiào,ㄍㄨˇ ㄆㄧㄠˋ,share certificate; stock (finance),6,名,1945572,1131,6,477.0,14.22,2.6785,247.0,3.96,2.3927,2399.0,True
落,落,là,ㄌㄨㄛˋ,to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; colloquial reading for 落[luo4] in certain compounds; to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement,6,动,1924707,1152,6,1733.0,51.66,3.2388,1311.0,21.0,3.1176,1420.0,True
规范,規範,guīfàn,ㄍㄨㄟ ㄈㄢˋ,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify,6,名、形、动,1923680,1153,6,94.0,2.8,1.9731,87.0,1.39,1.9395,2782.0,True
发行,發行,fāxíng,ㄈㄚ ㄒㄧㄥˊ,to publish; to issue; to release; to distribute,6,动,1891298,1163,6,290.0,8.64,2.4624,212.0,3.4,2.3263,2586.0,True
人家,人家,rénjia,ㄖㄣˊ ㄐㄧㄚ˙,"household; dwelling; family; sb else's house; household business; house of woman's husband-to-be; CL:戶|户[hu4],家[jia1]; other people; sb else; he, she or they; I, me (referring to oneself as 'one' or 'people')",6,代,1861769,1178,6,1027.0,30.61,3.0116,737.0,11.81,2.8675,1887.0,True
投票,投票,tóupiào,ㄊㄡˊ ㄆㄧㄠˋ,to vote; vote,6,动,1859828,1179,6,3701.0,110.32,3.5683,659.0,10.56,2.8189,817.0,True
滴,滴,dī,ㄉㄧ,to drip; to let drip; to apply (eye drops etc); (bound form) a drop (of liquid); classifier for drops of liquid,6,动、量,1816904,1201,6,861.0,25.67,2.935,576.0,9.23,2.7604,2028.0,True
业,業,yè,ㄧㄝˋ,surname Ye; line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already,6,后缀,1815246,1203,6,457.0,13.62,2.6599,311.0,4.98,2.4928,2419.0,True
立,立,lì,ㄌㄧˋ,surname Li; to stand; to set up; to establish; to lay down; to draw up; at once; immediately,6,动,1812106,1206,6,532.0,15.86,2.7259,387.0,6.2,2.5877,2344.0,True
银,銀,yín,ㄧㄣˊ,silver; silver-colored; relating to money or currency,6,名,1811595,1207,6,553.0,16.48,2.7427,257.0,4.12,2.4099,2323.0,True
核心,核心,héxīn,ㄏㄜˊ ㄒㄧㄣ,core; nucleus,6,名,1795122,1219,6,314.0,9.36,2.4969,226.0,3.62,2.3541,2562.0,True
突破,突破,tūpò,ㄊㄨ ㄆㄛˋ,to break through; to make a breakthrough; to surmount (an obstacle); (sports) to break through the opponent's defense,6,动,1792516,1220,6,509.0,15.17,2.7067,382.0,6.12,2.5821,2367.0,True
顶,頂,dǐng,ㄉㄧㄥˇ,"apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to 'bump' a forum thread to raise its profile; classifier for headwear, hats, veils etc",6,名、动、量,1785208,1223,6,1400.0,41.73,3.1461,979.0,15.68,2.9908,1614.0,True
基地,基地,jīdì,ㄐㄧ ㄉㄧˋ,"al-Qaeda; base (of operations, industrial, military, research etc)",6,名,1774977,1231,6,1123.0,33.48,3.0504,462.0,7.4,2.6646,1806.0,True
评论,評論,pínglùn,ㄆㄧㄥˊ ㄌㄨㄣˋ,to comment on; to discuss; comment; commentary; CL:篇[pian1],6,动、名,1770985,1233,6,653.0,19.47,2.8149,475.0,7.61,2.6767,2226.0,True
贸易,貿易,màoyì,ㄇㄠˋ ㄧˋ,(commercial) trade; CL:個|个[ge4],6,名,1762572,1238,6,232.0,6.92,2.3655,145.0,2.32,2.1614,2644.0,True
资本,資本,zīběn,ㄗ ㄅㄣˇ,capital (economics),6,名,1741323,1258,6,90.0,2.68,1.9542,78.0,1.25,1.8921,2786.0,True
招,招,zhāo,ㄓㄠ,to recruit; to provoke; to beckon; to incur; to infect; contagious; a move (chess); a maneuver; device; trick; to confess,6,动,1740670,1259,6,1688.0,50.32,3.2274,1188.0,19.03,3.0748,1451.0,True
系列,系列,xìliè,ㄒㄧˋ ㄌㄧㄝˋ,series; set,6,名,1725483,1271,6,781.0,23.28,2.8927,575.0,9.21,2.7597,2104.0,True
尽,盡,jìn,ㄐㄧㄣˇ,to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to; to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); all; entirely,6（7-9）,动、（副）,1713976,1279,6,2981.0,88.86,3.4744,2089.0,33.46,3.3199,963.0,True
上述,上述,shàngshù,ㄕㄤˋ ㄕㄨˋ,aforementioned; above-mentioned,6,形,1708796,1284,6,52.0,1.55,1.716,46.0,0.74,1.6628,2824.0,True
镇,鎮,zhèn,ㄓㄣˋ,to press down; to calm; to subdue; to suppress; to guard; garrison; small town; to cool or chill (food or drinks),6,动、名,1694888,1294,6,1586.0,47.28,3.2003,730.0,11.69,2.8633,1507.0,True
改造,改造,gǎizào,ㄍㄞˇ ㄗㄠˋ,to transform; to reform; to remodel; to remold,6,动,1685904,1296,6,344.0,10.25,2.5366,246.0,3.94,2.3909,2532.0,True
和平,和平,hépíng,ㄏㄜˊ ㄆㄧㄥˊ,peace; peaceful,6,名,1673726,1306,6,1262.0,37.62,3.1011,652.0,10.44,2.8142,1706.0,True
素质,素質,sùzhì,ㄙㄨˋ ㄓˋ,inner quality; basic essence,6,名,1668160,1311,6,89.0,2.65,1.9494,76.0,1.22,1.8808,2787.0,True
给予,給予,jǐyǔ,ㄐㄧˇ ㄩˇ,(literary) to give; to accord; to render,6,动,1665771,1312,6,534.0,15.92,2.7275,446.0,7.14,2.6493,2342.0,True
供应,供應,gōngyìng,ㄍㄨㄥ ㄧㄥˋ,"to supply; to provide (goods, services etc)",6,动,1663920,1314,6,318.0,9.48,2.5024,254.0,4.07,2.4048,2558.0,True
官员,官員,guānyuán,ㄍㄨㄢ ㄩㄢˊ,official (in an organization or government); administrator,6,名,1663042,1316,6,433.0,12.91,2.6365,332.0,5.32,2.5211,2443.0,True
皮,皮,pí,ㄆㄧˊ,surname Pi; leather; skin; fur; CL:張|张[zhang1]; pico- (one trillionth); naughty,6,名、形,1661628,1319,6,2173.0,64.78,3.3371,1197.0,19.17,3.0781,1218.0,True
流通,流通,liútōng,ㄌㄧㄡˊ ㄊㄨㄥ,to circulate; to distribute; circulation; distribution,6,动,1659715,1323,6,59.0,1.76,1.7709,56.0,0.9,1.7482,2817.0,True
编辑,編輯,biānjí,ㄅㄧㄢ ㄐㄧˊ,to edit; to compile; editor; compiler,6,动、名,1654975,1330,6,635.0,18.93,2.8028,342.0,5.48,2.534,2243.0,True
爆,爆,bào,ㄅㄠˋ,to explode or burst; to quick fry or quick boil,6,动,1629970,1344,6,1024.0,30.52,3.0103,718.0,11.5,2.8561,1889.0,True
运行,運行,yùnxíng,ㄩㄣˋ ㄒㄧㄥˊ,(of celestial bodies etc) to move along one's course; (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run,6,动,1625450,1349,6,324.0,9.66,2.5105,219.0,3.51,2.3404,2552.0,True
显,顯,xiǎn,ㄒㄧㄢˇ,to make visible; to reveal; prominent; conspicuous; (prefix) phanero-,6,形、动,1608647,1359,6,318.0,9.48,2.5024,254.0,4.07,2.4048,2558.0,True
收购,收購,shōugòu,ㄕㄡ ㄍㄡˋ,to buy; to purchase; to procure,6,动,1607038,1363,6,166.0,4.95,2.2201,96.0,1.54,1.9823,2710.0,True
副,副,fù,ㄈㄨˋ,"secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions",6,形,1596191,1371,6,2774.0,82.69,3.4431,1485.0,23.79,3.1717,1031.0,True
战争,戰爭,zhànzhēng,ㄓㄢˋ ㄓㄥ,"war; conflict; CL:場|场[chang2],次[ci4]",6,名,1592167,1373,6,3095.0,92.26,3.4907,1144.0,18.32,3.0584,938.0,True
协会,協會,xiéhuì,ㄒㄧㄝˊ ㄏㄨㄟˋ,"an association; a society; CL:個|个[ge4],家[jia1]",6,名,1585598,1378,6,616.0,18.36,2.7896,398.0,6.38,2.5999,2262.0,True
补,補,bǔ,ㄅㄨˇ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement,6,动,1576887,1388,6,488.0,14.55,2.6884,366.0,5.86,2.5635,2388.0,True
不得,不得,bùdé,ㄅㄨˋ ㄉㄜˊ,must not; may not; not to be allowed; cannot,6,动,1569062,1392,6,360.0,10.73,2.5563,312.0,5.0,2.4942,2516.0,True
学会,學會,xuéhuì,ㄒㄩㄝˊ ㄏㄨㄟˋ,to learn; to master; institute; learned society; (scholarly) association,6,名,1553692,1401,6,1143.0,34.07,3.058,897.0,14.37,2.9528,1793.0,True
斗争,鬥爭,dòuzhēng,ㄉㄡˋ ㄓㄥ,a struggle; fight; battle,6,动、名,1544032,1410,6,559.0,16.66,2.7474,409.0,6.55,2.6117,2317.0,True
属,屬,shǔ,ㄕㄨˇ,category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute; to join together; to fix one's attention on; to concentrate on,6,动,1538814,1417,6,291.0,8.67,2.4639,234.0,3.75,2.3692,2585.0,True
部队,部隊,bùduì,ㄅㄨˋ ㄉㄨㄟˋ,army; armed forces; troops; force; unit; CL:個|个[ge4],6,名,1514877,1431,6,1152.0,34.34,3.0615,502.0,8.04,2.7007,1786.0,True
和谐,和諧,héxié,ㄏㄜˊ ㄒㄧㄝˊ,harmonious; harmony; (euphemism) to censor,6,形,1511179,1434,6,273.0,8.14,2.4362,227.0,3.64,2.356,2603.0,True
本身,本身,běnshēn,ㄅㄣˇ ㄕㄣ,itself; in itself; per se,6,代,1510786,1436,6,693.0,20.66,2.8407,588.0,9.42,2.7694,2188.0,True
布,布,bù,ㄅㄨˋ,variant of 布[bu4]; to announce; to spread; cloth; to declare; to announce; to spread; to make known,6,名,1507474,1441,6,1545.0,46.06,3.1889,748.0,11.98,2.8739,1532.0,True
维护,維護,wéihù,ㄨㄟˊ ㄏㄨˋ,to defend; to safeguard; to protect; to uphold; to maintain,6,动,1491166,1450,6,411.0,12.25,2.6138,345.0,5.53,2.5378,2465.0,True
侧,側,cè,ㄘㄜˋ,the side; to incline towards; to lean; inclined; lateral; side; lean on one side,6,名、动,1486856,1454,6,651.0,19.41,2.8136,402.0,6.44,2.6042,2228.0,True
望,朢,wàng,ㄨㄤˋ,full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 15th day of month (lunar calendar); old variant of 望[wang4],6,动,1480170,1459,6,410.0,12.22,2.6128,309.0,4.95,2.49,2466.0,True
足,足,zú,ㄗㄨˊ,excessive; (bound form) foot; leg; sufficient; ample; as much as; fully,6,形、副,1473404,1465,6,647.0,19.29,2.8109,502.0,8.04,2.7007,2232.0,True
环,環,huán,ㄏㄨㄢˊ,surname Huan; ring; hoop; loop; (chain) link; classifier for scores in archery etc; to surround; to encircle; to hem in,6,名、量、动,1472506,1466,6,557.0,16.6,2.7459,336.0,5.38,2.5263,2319.0,True
化,化,huà,ㄏㄨㄚˋ,variant of 花[hua1]; to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2],5（6）,后缀、（动）,1459853,1477,5,1035.0,30.85,3.0149,782.0,12.53,2.8932,1879.0,True
圈,圈,quān,ㄑㄩㄢ,"to confine; to lock up; to pen in; livestock enclosure; pen; fold; sty; circle; ring; loop (CL:個|个[ge4]); classifier for loops, orbits, laps of race etc; to surround; to circle",6,名、动,1451007,1488,6,2168.0,64.63,3.3361,1259.0,20.17,3.1,1220.0,True
当天,當天,dàngtiān,ㄉㄤˋ ㄊㄧㄢ,on that day; the same day,6,名,1448594,1493,6,318.0,9.48,2.5024,253.0,4.05,2.4031,2558.0,True
检测,檢測,jiǎncè,ㄐㄧㄢˇ ㄘㄜˋ,to detect; to test; detection; sensing,6,动,1440074,1504,6,882.0,26.29,2.9455,503.0,8.06,2.7016,2008.0,True
启动,啟動,qǐdòng,ㄑㄧˇ ㄉㄨㄥˋ,to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan),6,动,1421542,1514,6,1081.0,32.22,3.0338,553.0,8.86,2.7427,1839.0,True
就算,就算,jiùsuàn,ㄐㄧㄡˋ ㄙㄨㄢˋ,(coll.) even if,6,连,1417049,1517,6,472.0,14.07,2.6739,416.0,6.66,2.6191,2404.0,True
涉及,涉及,shèjí,ㄕㄜˋ ㄐㄧˊ,to involve; to relate to; to concern; to touch upon,6,动,1398736,1533,6,451.0,13.44,2.6542,408.0,6.54,2.6107,2425.0,True
协调,協調,xiétiáo,ㄒㄧㄝˊ ㄊㄧㄠˊ,to coordinate; to harmonize; to fit together; to match (colors etc); harmonious; concerted,6,形、动,1382418,1549,6,245.0,7.3,2.3892,213.0,3.41,2.3284,2631.0,True
净,淨,jìng,ㄐㄧㄥˋ,"variant of 淨|净[jing4]; clean; completely; only; net (income, exports etc); (Chinese opera) painted face male role",6,形、副,1380450,1551,6,176.0,5.25,2.2455,137.0,2.19,2.1367,2700.0,True
跌,跌,diē,ㄉㄧㄝ,to fall; to tumble; to trip; (of prices etc) to drop; Taiwan pr. [die2],6,动,1378661,1553,6,237.0,7.06,2.3747,202.0,3.24,2.3054,2639.0,True
文明,文明,wénmíng,ㄨㄣˊ ㄇㄧㄥˊ,civilized; civilization; culture; CL:個|个[ge4],6,名、形,1371173,1557,6,418.0,12.46,2.6212,299.0,4.79,2.4757,2458.0,True
冲,衝,chòng,ㄔㄨㄥ,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with; thoroughfare; to go straight ahead; to rush; to clash; powerful; vigorous; pungent; towards; in view of,6,动、介,1364565,1562,6,3852.0,114.83,3.5857,2091.0,33.49,3.3204,786.0,True
虽,雖,suī,ㄙㄨㄟ,although; even though,6,连,1354009,1571,6,227.0,6.77,2.356,194.0,3.11,2.2878,2649.0,True
相应,相應,xiāngyìng,ㄒㄧㄤ ㄧㄥˋ,to correspond; answering (one another); to agree (among the part); corresponding; relevant; appropriate; (modify) accordingly,6,动,1346150,1577,6,111.0,3.31,2.0453,108.0,1.73,2.0334,2765.0,True
民主,民主,mínzhǔ,ㄇㄧㄣˊ ㄓㄨˇ,democracy; democratic,6,名、形,1345115,1579,6,382.0,11.39,2.5821,211.0,3.38,2.3243,2494.0,True
自我,自我,zìwǒ,ㄗˋ ㄨㄛˇ,self-; ego (psychology),6,代,1344158,1581,6,1950.0,58.13,3.29,1347.0,21.58,3.1294,1309.0,True
预期,預期,yùqī,ㄩˋ ㄑㄧ,to expect; to anticipate,6,动,1339746,1587,6,228.0,6.8,2.3579,203.0,3.25,2.3075,2648.0,True
石油,石油,shíyóu,ㄕˊ ㄧㄡˊ,oil; petroleum,6,名,1337805,1589,6,505.0,15.05,2.7033,201.0,3.22,2.3032,2371.0,True
收益,收益,shōuyì,ㄕㄡ ㄧˋ,earnings; profit,6,名,1337423,1590,6,154.0,4.59,2.1875,128.0,2.05,2.1072,2722.0,True
理,理,lǐ,ㄌㄧˇ,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up,6,名、动,1336681,1591,6,1729.0,51.54,3.2378,1220.0,19.54,3.0864,1423.0,True
待,待,dài,ㄉㄞˋ,to stay; to remain; to wait; to treat; to deal with; to need; going to (do sth); about to; intending to,6,动,1323625,1604,6,6103.0,181.93,3.7855,2847.0,45.6,3.4544,547.0,True
土,土,tǔ,ㄊㄨˇ,Tu (ethnic group); surname Tu; earth; dust; clay; local; indigenous; crude opium; unsophisticated; one of the eight categories of ancient musical instruments 八音[ba1 yin1],4（6）,名、（形）,1314154,1614,4,772.0,23.01,2.8876,457.0,7.32,2.6599,2111.0,True
解,解,jiě,ㄐㄧㄝˇ,surname Xie; to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection; to transport under guard; acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old),6,动,1308949,1621,6,1221.0,36.4,3.0867,714.0,11.44,2.8537,1734.0,True
打击,打擊,dǎjī,ㄉㄚˇ ㄐㄧ,to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music),6,动,1307292,1624,6,1105.0,32.94,3.0434,789.0,12.64,2.8971,1819.0,True
股市,股市,gǔshì,ㄍㄨˇ ㄕˋ,stock market,6,名,1302555,1628,6,71.0,2.12,1.8513,49.0,0.78,1.6902,2805.0,True
转移,轉移,zhuǎnyí,ㄓㄨㄢˇ ㄧˊ,to shift; to relocate; to transfer; (fig.) to shift (attention); to change (the subject etc); (medicine) to metastasize,6,动,1296688,1632,6,1085.0,32.34,3.0354,769.0,12.32,2.8859,1835.0,True
公告,公告,gōnggào,ㄍㄨㄥ ㄍㄠˋ,post; announcement,6,动、名,1285428,1638,6,107.0,3.19,2.0294,86.0,1.38,1.9345,2769.0,True
生态,生態,shēngtài,ㄕㄥ ㄊㄞˋ,"ecology (the study of interactions between organisms and their environment); ecological state (the condition or health of a natural environment); (fig.) ecosystem (a complex network, e.g. in tech, business or media, as in 數字生態|数字生态[shu4 zi4 sheng1 tai4] 'digital ecosystem')",6,名,1283565,1640,6,83.0,2.47,1.9191,64.0,1.03,1.8062,2793.0,True
封,封,fēng,ㄈㄥ,"surname Feng; to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters",3（6）,量、（动）,1276309,1648,3,2558.0,76.25,3.4079,1268.0,20.31,3.1031,1083.0,True
力度,力度,lìdù,ㄌㄧˋ ㄉㄨˋ,strength; vigor; efforts; (music) dynamics,6,名,1271292,1655,6,88.0,2.62,1.9445,70.0,1.12,1.8451,2788.0,True
雷,雷,léi,ㄌㄟˊ,"surname Lei; thunder; (bound form) (military) mine, as in 地雷[di4 lei2] land mine; (coll.) to shock; to stun; to astound; (Tw) (coll.) spoiler; (Tw) (coll.) to reveal plot details to (sb)",6,名,1264293,1666,6,2873.0,85.64,3.4583,555.0,8.89,2.7443,999.0,True
感染,感染,gǎnrǎn,ㄍㄢˇ ㄖㄢˇ,to infect; infection; (fig.) to influence,6,动,1260354,1670,6,1216.0,36.25,3.0849,557.0,8.92,2.7459,1738.0,True
性能,性能,xìngnéng,ㄒㄧㄥˋ ㄋㄥˊ,function; performance; behavior,6,名,1257523,1674,6,63.0,1.88,1.7993,58.0,0.93,1.7634,2813.0,True
论坛,論壇,lùntán,ㄌㄨㄣˋ ㄊㄢˊ,forum (for discussion),6,名,1254218,1676,6,89.0,2.65,1.9494,57.0,0.91,1.7559,2787.0,True
俱乐部,俱樂部,jùlèbù,ㄐㄩˋ ㄌㄜˋ ㄅㄨˋ,(loanword) club (the organization or its premises),6,名,1252091,1679,6,2317.0,69.07,3.3649,1062.0,17.01,3.0261,1168.0,True
为此,為此,wèicǐ,ㄨㄟˋ ㄘˇ,for this reason; with regards to this; in this respect; in order to do this; to this end,6,连,1245518,1682,6,619.0,18.45,2.7917,549.0,8.79,2.7396,2259.0,True
社,社,shè,ㄕㄜˋ,(bound form) society; organization; agency; (old) god of the land,6,名,1241976,1685,6,340.0,10.14,2.5315,171.0,2.74,2.233,2536.0,True
承诺,承諾,chéngnuò,ㄔㄥˊ ㄋㄨㄛˋ,to promise; to undertake to do something; commitment,6,动,1231815,1695,6,1280.0,38.16,3.1072,818.0,13.1,2.9128,1694.0,True
能源,能源,néngyuán,ㄋㄥˊ ㄩㄢˊ,energy sources; energy,6,名,1231655,1696,6,375.0,11.18,2.574,184.0,2.95,2.2648,2501.0,True
显著,顯著,xiǎnzhù,ㄒㄧㄢˇ ㄓㄨˋ,outstanding; notable; remarkable; statistically significant,6,形,1231645,1697,6,80.0,2.38,1.9031,75.0,1.2,1.8751,2796.0,True
道德,道德,dàodé,ㄉㄠˋ ㄉㄜˊ,virtue; morality; ethics; CL:種|种[zhong3],6,名、形,1229736,1701,6,783.0,23.34,2.8938,551.0,8.83,2.7412,2102.0,True
一系列,一系列,yíxìliè,ㄧ ㄒㄧˋ ㄌㄧㄝˋ,a series of; a string of,6,形,1221597,1707,6,4.0,0.12,0.6021,4.0,0.06,0.6021,2872.0,True
差异,差異,chāyì,ㄔㄚ ㄧˋ,difference; discrepancy,6,名,1218822,1711,6,94.0,2.8,1.9731,84.0,1.35,1.9243,2782.0,True
铜,銅,tóng,ㄊㄨㄥˊ,copper (chemistry); see also 紅銅|红铜[hong2 tong2]; CL:塊|块[kuai4],6,名,1209979,1728,6,188.0,5.6,2.2742,118.0,1.89,2.0719,2688.0,True
英雄,英雄,yīngxióng,ㄧㄥ ㄒㄩㄥˊ,hero; CL:個|个[ge4],6,名,1208154,1731,6,2779.0,82.84,3.4439,1278.0,20.47,3.1065,1028.0,True
运营,運營,yùnyíng,ㄩㄣˋ ㄧㄥˊ,"to be in operation; to do business; (of train, bus etc) to be in service; operation; service",6,动,1205472,1734,6,86.0,2.56,1.9345,76.0,1.22,1.8808,2790.0,True
患,患,huàn,ㄏㄨㄢˋ,to suffer (from illness); to contract (a disease); misfortune; trouble; danger; worry,6,动,1204344,1735,6,701.0,20.9,2.8457,532.0,8.52,2.7259,2180.0,True
毒,毒,dú,ㄉㄨˊ,poison; to poison; poisonous; malicious; cruel; fierce; narcotics,6,名、动、形,1203040,1737,6,1384.0,41.26,3.1411,751.0,12.03,2.8756,1626.0,True
财务,財務,cáiwù,ㄘㄞˊ ㄨˋ,financial affairs; finance,6,名,1201381,1738,6,325.0,9.69,2.5119,223.0,3.57,2.3483,2551.0,True
